City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,miri,4.4148,114.0089,25.54,88,100,4.25,MY,1696097608
266,ulaangom,49.9811,92.0667,6.99,68,72,0.55,MN,1696097608
267,ganjam,19.3833,85.0667,27.15,84,100,1.63,IN,1696097608
268,ofunato,39.0717,141.7167,19.33,92,99,2.69,JP,1696097609
269,saa,4.3667,11.45,23.07,87,52,1.57,CM,1696097609
270,villamontes,-21.25,-63.5,31.17,20,53,2.69,BO,1696097609
271,lompoc,34.6391,-120.4579,20.56,66,100,6.26,US,1696097609
272,zaozersk,69.4005,32.4476,7.47,95,98,2.47,RU,1696097609
273,howrah,22.5892,88.3103,27.0,94,75,5.14,IN,1696097610
274,fort st. john,56.2499,-120.8529,4.94,100,100,4.63,CA,1696097610
275,ashti,19.3833,76.2333,25.26,84,94,2.33,IN,1696097610
276,north battleford,52.7834,-108.2847,10.05,81,100,2.57,CA,1696097610
277,riberalta,-10.9833,-66.1,34.11,52,40,2.57,BO,1696097611
278,cooper's town,26.8667,-77.5167,28.19,75,35,1.08,BS,1696097611
279,kangding,30.0513,101.9603,13.69,95,94,1.16,CN,1696097611
280,plettenberg bay,-34.0527,23.3716,13.56,73,91,6.37,ZA,1696097611
281,callao,-12.0667,-77.15,21.16,68,75,5.14,PE,1696097522
282,nadi,-17.8,177.4167,20.0,77,40,3.09,FJ,1696097612
283,palmer,42.1584,-72.3287,17.4,78,100,3.6,US,1696097485
284,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1696097612
285,manistee,44.2445,-86.3242,24.47,74,100,4.63,US,1696097612
286,sirte,31.2089,16.5887,24.6,67,0,3.77,LY,1696097613
287,santo tome,-31.6627,-60.7653,22.25,35,6,3.13,AR,1696097452
288,mahdishahr,35.7108,53.3556,15.9,27,59,0.76,IR,1696097613
289,isafjordur,66.0755,-23.124,7.02,70,75,4.12,IS,1696097613
290,astara,38.5,48.6667,18.99,93,98,1.03,AZ,1696097614
291,saint david's,12.0333,-61.6667,32.69,70,40,5.14,GD,1696097614
292,cabo san lucas,22.8909,-109.9124,36.61,52,0,4.63,MX,1696097541
293,calabozo,8.9242,-67.4293,36.01,45,90,1.65,VE,1696097614
294,kharan,28.5833,65.4167,23.72,12,0,2.71,PK,1696097615
295,uvalde,29.3669,-99.767,31.84,54,75,4.12,US,1696097615
296,huarmey,-10.0681,-78.1522,18.73,89,97,4.94,PE,1696097615
297,epernay,49.05,3.95,17.6,67,67,1.63,FR,1696097615
298,ketchikan,55.3422,-131.6461,9.99,87,20,0.0,US,1696097560
299,tejen,37.3834,60.5054,19.94,26,0,3.9,TM,1696097616
300,yonggwang-up,40.0183,127.4547,11.4,84,5,3.67,KP,1696097616
301,palikir - national government center,6.9248,158.1611,23.41,88,75,1.54,FM,1696097616
302,jiangyou,31.7667,104.7167,20.85,83,100,0.54,CN,1696097616
303,marabba,12.35,32.1833,27.98,53,63,3.52,SD,1696097617
304,bantay,17.5847,120.3892,28.78,80,100,3.37,PH,1696097617
305,bongao,5.0833,119.7833,28.26,73,91,3.36,PH,1696097617
306,cidreira,-30.1811,-50.2056,17.94,84,100,2.66,BR,1696097617
307,saldanha,-33.0117,17.9442,13.94,73,0,5.22,ZA,1696097618
308,saint-philippe,-21.3585,55.7679,22.77,82,54,5.99,RE,1696097618
309,brezina,33.0989,1.2608,27.44,19,0,3.58,DZ,1696097618
310,tazovsky,67.4667,78.7,-1.26,75,98,2.28,RU,1696097619
311,cibitoke,-2.8833,29.25,20.99,56,21,2.14,BI,1696097619
312,cockburn town,21.4612,-71.1419,29.35,79,92,7.98,TC,1696097619
313,willowmore,-33.2926,23.4895,8.42,74,90,9.87,ZA,1696097619
314,chatham,51.3789,0.5279,17.92,74,87,0.89,GB,1696097619
